Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/18/2022,34-218,GSW,,LAL,W (+14),1,32:48:00,10,22,0.455,4,13,0.308,9,9,1,1,5,6,7,4,1,4,1,33,29,20
2,2,10/21/2022,34-221,GSW,,DEN,L (-5),1,35:55:00,10,22,0.455,5,11,0.455,9,9,1,1,4,5,4,0,0,3,2,34,23.5,9
3,3,10/23/2022,34-223,GSW,,SAC,W (+5),1,31:21:00,11,22,0.5,7,12,0.583,4,4,1,0,5,5,2,1,0,2,3,33,22.7,19
4,4,10/25/2022,34-225,GSW,@,PHO,L (-29),1,29:55:00,7,17,0.412,4,9,0.444,3,5,0.6,0,7,7,8,1,0,1,1,21,18.4,-17
5,5,10/27/2022,34-227,GSW,,MIA,W (+13),1,36:57:00,13,22,0.591,7,14,0.5,0,0,,1,6,7,9,1,0,3,0,33,29.6,13
6,6,10/29/2022,34-229,GSW,@,CHO,L (-7),1,38:54:00,10,22,0.455,3,13,0.231,8,8,1,0,11,11,6,1,0,2,5,31,24.1,-6
7,7,10/30/2022,34-230,GSW,@,DET,L (-14),1,34:58:00,10,24,0.417,4,14,0.286,8,9,0.889,0,6,6,3,2,0,1,1,32,23.3,-12
8,8,11/1/2022,34-232,GSW,@,MIA,L (-7),1,34:30:00,7,14,0.5,4,10,0.4,5,5,1,4,9,13,13,1,0,5,3,23,25.4,3
9,9,11/3/2022,34-234,GSW,@,ORL,L (-1),1,38:20:00,13,22,0.591,8,15,0.533,5,5,1,1,2,3,9,0,0,5,3,39,30.2,4
10,,11/4/2022,34-235,GSW,@,NOP,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
11,10,11/7/2022,34-238,GSW,,SAC,W (+3),1,37:43:00,17,24,0.708,7,12,0.583,6,7,0.857,0,8,8,8,0,0,0,2,47,43.8,20
